Gene,Gene name,Reliability,Main location,Additional location,Extracellular location,Enhanced,Supported,Approved,Uncertain,Single-cell variation intensity,Single-cell variation spatial,Cell cycle dependency,GO id
ENSG00000064205,CCN5,Approved,Plasma membrane,,Predicted to be secreted,,,Plasma membrane,,,,,Plasma membrane (GO:0005886)
ENSG00000079557,AFM,Uncertain,Plasma membrane,,Predicted to be secreted,,,,Plasma membrane,,,,Plasma membrane (GO:0005886)
ENSG00000117245,KIF17,Approved,Nucleoplasm;Plasma membrane,,,,,Nucleoplasm;Plasma membrane,,,,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000120156,TEK,Supported,Plasma membrane,Centriolar satellite,Predicted to be secreted,,Plasma membrane,,Centriolar satellite,Plasma membrane,,,Centriolar satellite (GO:0034451);Plasma membrane (GO:0005886)
ENSG00000120160,EQTN,Approved,Actin filaments;Plasma membrane,,Predicted to be secreted,,,Actin filaments;Plasma membrane,,,,,Actin filaments (GO:0015629);Plasma membrane (GO:0005886)
ENSG00000130783,CCDC62,Uncertain,Plasma membrane,Nucleoplasm,,,Nucleoplasm,,Plasma membrane,,,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000131721,RHOXF2,Approved,Plasma membrane,Nucleoplasm,,,,Nucleoplasm;Plasma membrane,,Nucleoplasm;Plasma membrane,,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000131864,USP29,Supported,Plasma membrane,Cytosol,,,Plasma membrane,Cytosol,,,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000152670,DDX4,Approved,Cytosol;Nucleoplasm;Plasma membrane,,,,,Cytosol;Nucleoplasm;Plasma membrane,,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000157343,ARMC12,Approved,Nucleoplasm;Plasma membrane,,,,Nucleoplasm,,Plasma membrane,,,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000160886,LY6K,Approved,Plasma membrane,Nucleoplasm,Predicted to be secreted,,,Plasma membrane,Nucleoplasm,,,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000166069,TMCO5A,Approved,Cytosol;Plasma membrane,,,,Plasma membrane,,Cytosol,,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000174015,CBY2,Approved,Cell Junctions;Plasma membrane,,,,,Cell Junctions;Plasma membrane,,,,,Cell Junctions (GO:0030054);Plasma membrane (GO:0005886)
ENSG00000180878,C11orf42,Approved,Plasma membrane,Nuclear membrane;Vesicles,,,,Nuclear membrane;Plasma membrane;Vesicles,,,,,Nuclear membrane (GO:0031965);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
ENSG00000183246,RIMBP3C,Uncertain,Plasma membrane;Vesicles,,,,,,Plasma membrane;Vesicles,,,,Plasma membrane (GO:0005886);Vesicles (GO:0043231)
ENSG00000187775,DNAH17,Approved,Nucleoplasm;Plasma membrane,Cytosol,,,,Cytosol;Nucleoplasm;Plasma membrane,,,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000189064,GAGE2A,Approved,Plasma membrane,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000196503,ARL9,Approved,Plasma membrane,Centriolar satellite;Cytosol,,,,Centriolar satellite;Cytosol;Plasma membrane,,,,,Centriolar satellite (GO:0034451);Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ENSG00000198732,SMOC1,Approved,Plasma membrane,,Predicted to be secreted,,,Plasma membrane,,,,,Plasma membrane (GO:0005886)
ENSG00000203989,RHOXF2B,Approved,Plasma membrane,Nucleoplasm,,,,Nucleoplasm;Plasma membrane,,Nucleoplasm;Plasma membrane,,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ENSG00000205108,FAM205A,Uncertain,Plasma membrane,Nucleoli fibrillar center,,,,,Nucleoli fibrillar center;Plasma membrane,,,,Nucleoli fibrillar center (GO:0001650);Plasma membrane (GO:0005886)
ENSG00000205777,GAGE1,Approved,Plasma membrane,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000215269,GAGE12G,Approved,Plasma membrane,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000215274,GAGE10,Uncertain,Plasma membrane,Cytosol;Golgi apparatus,,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000216649,GAGE12E,Uncertain,Plasma membrane,Cytosol;Golgi apparatus,,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000224659,GAGE12J,Approved,Plasma membrane,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000224902,GAGE12H,Approved,Plasma membrane,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000227488,GAGE12D,Approved,Plasma membrane,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000231256,CFAP97D1,Uncertain,Plasma membrane,,,,,,Plasma membrane,,,,Plasma membrane (GO:0005886)
ENSG00000236362,GAGE12F,Approved,Plasma membrane,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000237671,GAGE12C,Approved,Plasma membrane,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000274274,GAGE13,Approved,Plasma membrane,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000274600,RIMBP3B,Uncertain,Plasma membrane;Vesicles,,,,,,Plasma membrane;Vesicles,,,,Plasma membrane (GO:0005886);Vesicles (GO:0043231)
ENSG00000275113,GAGE2E,Approved,Plasma membrane,Cytosol;Golgi apparatus,,,,Cytosol;Golgi apparatus;Plasma membrane,,,,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886)
ENSG00000275793,RIMBP3,Uncertain,Plasma membrane;Vesicles,,,,,,Plasma membrane;Vesicles,,,,Plasma membrane (GO:0005886);Vesicles (GO:0043231)
